"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn29288708","GENIE BPC cBioPortal Variable Crosswalk_NSCLC_PUBLIC.pdf","1","application/pdf","65320","3421669","1649425853590","3421669","1649425853590","syn29288688","https://www.synapse.org/#!Synapse:syn29288708.1","451aeafe9f9b2dde94cdc1d7246a245a"
"syn30557312","BPC_NSCLC_v2.0-public_variable_synopsis.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","149890","3421669","1652731076043","3421669","1652731076043","syn29288688","https://www.synapse.org/#!Synapse:syn30557312.1","87962edb89e43eed4eb5f5446de2a229"
"syn30358091","cancer_level_dataset_non_index.csv","1","text/csv","331016","3421669","1652309271061","3421669","1652309271111","syn30358089","https://www.synapse.org/#!Synapse:syn30358091.1","1584b2c68302bdf89b04ed5ddb5b46f0"
"syn30358096","patient_level_dataset.csv","1","text/csv","524489","3421669","1652309273896","3421669","1652309273957","syn30358089","https://www.synapse.org/#!Synapse:syn30358096.1","4891d39a3dda8ddd37f12e7b55c6a389"
"syn30358092","cancer_panel_test_level_dataset.csv","1","text/csv","575693","3421669","1652309271586","3421669","1652309271651","syn30358089","https://www.synapse.org/#!Synapse:syn30358092.1","e6e6eac427e6d1a02c86c2335e089f9f"
"syn30557304","GENIE BPC NSCLC v2.0-public Analytic Data Guide.pdf","3","application/pdf","1132436","3421669","1652731062168","3452608","1667412794422","syn29288688","https://www.synapse.org/#!Synapse:syn30557304.3","4127ff98cbc69a661c01f5e9cbbec487"
"syn30358090","cancer_level_dataset_index.csv","1","text/csv","1408646","3421669","1652309270485","3421669","1652309270554","syn30358089","https://www.synapse.org/#!Synapse:syn30358090.1","13e766aa4fc8f99d904fd201615c6063"
"syn30358097","regimen_cancer_level_dataset.csv","1","text/csv","3330067","3421669","1652309274470","3421669","1652309274533","syn30358089","https://www.synapse.org/#!Synapse:syn30358097.1","909d743fbefdb732ea1cff7621153bd3"
"syn30358095","pathology_report_level_dataset.csv","1","text/csv","4097097","3421669","1652309273352","3421669","1652309273410","syn30358089","https://www.synapse.org/#!Synapse:syn30358095.1","d25073da435f21d0d73a0c1b4d2f36ab"
"syn30358094","med_onc_note_level_dataset.csv","1","text/csv","5441519","3421669","1652309272740","3421669","1652309272802","syn30358089","https://www.synapse.org/#!Synapse:syn30358094.1","5602d7b6bf0fa214e5412f2e8563ed05"
"syn30358093","imaging_level_dataset.csv","1","text/csv","11338456","3421669","1652309272203","3421669","1652309272262","syn30358089","https://www.synapse.org/#!Synapse:syn30358093.1","80e38b1301551afe51cd8cc80d66f121"
